#bodies, #contacts, contact detection, warmstart, full LCP solve, single iteration PGS, contactOrdering, singleItPGS, merging, mergingCheckContacts, mergingCheckMotion, mergingCheckViolation, mergingCheckCycle, mergingBuild, unmerging, unmergingCheckContacts, unmergingCheckMotion, unmergingCheckCycle, unmergingBuild, computeTime
5,72,4.11E-05,4.80E-06,0.0010907,0.0020085,5.86E-05,0.0011881,3.20E-06,0,0,5.00E-07,0,0,9.13E-04,0,0,9.00E-07,7.51E-04,0.0042825
5,72,5.11E-05,6.90E-06,0.0010777,0.0020141,5.70E-05,0.001199,2.90E-06,0,0,4.00E-07,0,0,3.97E-04,0,0,2.00E-07,2.33E-04,0.0037946
5,72,5.05E-05,6.50E-06,0.0010676,0.0019646,5.60E-05,0.0012521,3.30E-06,0,0,4.00E-07,0,0,4.63E-04,0,0,8.00E-07,2.94E-04,0.0037949
5,72,5.06E-05,5.20E-06,0.0010726,0.0019566,5.63E-05,0.0011836,3.60E-06,0,0,7.00E-07,0,0,4.40E-04,0,0,5.00E-07,2.78E-04,0.0037618
5,72,4.93E-05,5.50E-06,0.0011157,0.0019904,5.64E-05,0.0012969,3.30E-06,0,0,8.00E-07,0,0,5.33E-04,0,0,7.00E-07,3.66E-04,0.003931
5,72,4.99E-05,6.50E-06,0.0010732,0.001945,5.52E-05,0.0011841,4.20E-06,0,0,6.00E-07,0,0,4.90E-04,0,0,7.00E-07,3.23E-04,0.0038053
5,72,2.39E-04,1.86E-05,0.0031776,0.0051375,2.08E-04,0.0038166,8.10E-06,0,0,1.60E-06,0,0,0.0012752,0,0,2.20E-06,9.04E-04,0.0103536
5,72,8.36E-05,9.70E-06,0.001699,0.0027568,8.31E-05,0.0020083,5.30E-06,0,0,1.20E-06,0,0,9.37E-04,0,0,1.20E-06,5.98E-04,0.0058123
6,96,5.07E-05,6.10E-06,0.0015461,0.001561,5.19E-05,0.0010906,4.10E-06,0,0,6.00E-07,0,0,0.0010389,0,0,1.10E-06,8.96E-04,0.004459
5,72,2.63E-04,1.74E-05,0.0031619,0.0033967,1.42E-04,0.0025038,1.43E-04,6.00E-07,1.00E-06,1.20E-06,1.00E-07,1.17E-04,9.31E-04,0,0,2.10E-06,6.61E-04,0.0083165
5,72,6.12E-05,7.30E-06,0.0014281,0.0024162,7.64E-05,0.0016522,4.20E-06,0,0,7.00E-07,0,0,6.43E-04,0,0,7.00E-07,3.83E-04,0.0048305
5,72,4.71E-05,6.90E-06,0.0011723,0.001994,5.69E-05,0.0011953,3.70E-06,0,0,9.00E-07,0,0,4.18E-04,0,0,5.00E-07,2.57E-04,0.0038744
5,72,1.60E-04,1.86E-05,0.0024813,0.0036671,1.43E-04,0.0025638,7.00E-06,0,0,1.70E-06,0,0,9.94E-04,0,0,1.50E-06,6.71E-04,0.0079747
4,48,3.66E-04,1.69E-05,0.002416,0.0037416,1.38E-04,0.0027172,1.67E-04,6.00E-07,4.00E-07,1.30E-06,1.00E-07,1.42E-04,0.0010222,0,0,2.00E-06,6.42E-04,0.0081781
4,48,3.41E-05,4.20E-06,7.25E-04,0.0021645,5.83E-05,0.0013922,3.40E-06,0,0,7.00E-07,0,0,5.43E-04,0,0,1.00E-06,2.84E-04,0.0036962
4,32,2.03E-04,1.03E-05,0.0018724,0.0034606,1.10E-04,0.0025496,1.27E-04,1.00E-06,9.00E-07,7.00E-07,0,1.09E-04,0.00203,0,0,1.50E-06,0.0017383,0.0080487
4,36,4.60E-05,7.28E-05,7.30E-04,0.0026087,1.71E-04,0.00169,3.10E-06,0,0,5.00E-07,0,0,5.29E-04,0,0,1.00E-06,2.77E-04,0.0042435
4,36,3.68E-05,3.13E-05,5.16E-04,0.0019905,1.52E-04,0.0011382,2.70E-06,0,0,5.00E-07,0,0,4.84E-04,0,0,6.00E-07,3.29E-04,0.0032644
3,24,1.09E-04,1.00E-04,5.34E-04,0.0044355,2.76E-04,0.0031299,7.57E-05,5.00E-07,3.00E-07,5.00E-07,0,6.85E-05,3.86E-04,0,0,4.00E-07,2.39E-04,0.0059693
3,24,8.16E-05,7.29E-05,0.0014861,0.0054313,2.60E-04,0.0040321,6.80E-06,0,0,1.10E-06,0,0,0.0014391,0,0,2.90E-06,9.18E-04,0.009002
3,24,4.26E-05,2.64E-05,6.02E-04,0.0033718,2.08E-04,0.0023828,2.50E-06,0,0,3.00E-07,0,0,7.78E-04,0,0,1.10E-06,4.07E-04,0.0050687
